harvest_id,target_id,word1,word2,word3,word4,word5
130984,120,ALIKEE,FLATTERER,CURD,ROAN,CALCOMP
740367,39,ALIKEE,FLATTERER,COMPLECTED,FEELINGLY,CALCOMP
463705,56,BASIS,BLEVINS,WIRELESS,NANETTE,BLINDFOLD
90768,40,BASIS,BLEVINS,PENICILLIN,THREADY,BLINDFOLD
51520,88,BUCK,HANDEDNESS,HOPE,JOSEE,AUDRA
859674,72,BUCK,HANDEDNESS,HORROR,BRYNNER,AUDRA
779198,75,BUICK,EXPEL,COATING,TIMEWORN,RESTORE
524708,50,BUICK,EXPEL,SCHMALTZ,VOLE,RESTORE
372538,24,CHARMION,BRIGHT,IMITATIVE,HOBARD,STINK
604136,79,CHARMION,BRIGHT,EFFUSION,BELCH,STINK
639029,116,CHRISTIANS,SCROD,JEANINE,ERMANNO,FLYSPECK
584753,67,CHRISTIANS,SCROD,CERULEAN,AINDREA,FLYSPECK
678844,71,CUTTHROAT,BARN,ROSETTA,ORLON,DICTUM
403824,28,CUTTHROAT,BARN,FANIA,ULRICA,DICTUM
367769,77,DIGESTIFS,WAVELET,MANTEGNA,COMMENT,OUTGOES
30950,64,DIGESTIFS,WAVELET,ENDEARMENT,FLANNEL,OUTGOES
888037,16,FEATHERTOP,OVERLONG,CONVIVIALITY,SETTER,DIAGNOSTIC
890828,28,FEATHERTOP,OVERLONG,JUGGED,HISTOLOGIST,DIAGNOSTIC
779198,50,FLATT,AZORES,NICHROME,ACUTENESS,CRANDALL
524708,75,FLATT,AZORES,DARIN,SUPPRESSANT,CRANDALL
66203,7,GARGLE,KARLOTTE,CONGENIAL,SUMMABLE,DRUB
687329,104,GARGLE,KARLOTTE,WASSERMANN,ENLARGER,DRUB
796437,91,HYGIENIST,CENSURER,SHAKING,ORDERER,CHECHEN
439179,82,HYGIENIST,CENSURER,CONFECTIONER,TIEBOUT,CHECHEN
66203,104,LEAN,STICKINESS,FONSIE,DETERRENT,REVERTER
687329,7,LEAN,STICKINESS,SHIPPED,MATTHUS,REVERTER
51520,72,LYMPHS,SINDHI,DEEP,WHINING,ASSUAGE
859674,88,LYMPHS,SINDHI,DECISIVENESS,UNIT,ASSUAGE
922138,105,MELLICENT,TUBER,COPYIST,ANIMIST,BERNOULLI
194624,44,MELLICENT,TUBER,CLAIROL,BRAILLE,BERNOULLI
595886,37,MOISTNESS,RADIOLOGY,ARACHNID,BLUEBUSH,SNAP
712635,83,MOISTNESS,RADIOLOGY,JETH,KATHIE,SNAP
678844,28,NATTY,VARY,CONGRUENCY,MENINGITIS,CHIMPANZEE
403824,71,NATTY,VARY,CRAP,FORECASTER,CHIMPANZEE
367769,64,NONPAREIL,CIVICS,YORE,GIRLHOOD,BONDY
30950,77,NONPAREIL,CIVICS,PADDED,DAEL,BONDY
671383,69,ODDMENT,CESSATION,ROADWORTHY,BYTE,RACCOON
540301,71,ODDMENT,CESSATION,JOELLE,MODICUM,RACCOON
740367,120,OFFICER,DISCRETION,SETTABLE,BIRK,LOURDES
130984,39,OFFICER,DISCRETION,SMOOTHEN,ESTELL,LOURDES
463705,40,PACIFISM,ZED,YAHWEH,MEEK,TRANSFORMER
90768,56,PACIFISM,ZED,PHILATELIST,UNMOBILIZED,TRANSFORMER
604136,24,PAIL,BRONTOSAURUS,LINGUIST,DEFT,BOOTPRINTS
372538,79,PAIL,BRONTOSAURUS,ASHTON,THAMES,BOOTPRINTS
922138,44,RECEPTIVITY,WASHOUT,DURST,DADDY,ROTUND
194624,105,RECEPTIVITY,WASHOUT,CIRRI,CARPEL,ROTUND
639029,67,RHODOLITE,WADI,MUGGED,BOY,JODY
584753,116,RHODOLITE,WADI,DUMBWAITER,CALISTHENICS,JODY
790385,45,SWEDEN,COURIER,MOCK,MYRLENE,SCARCE
36735,47,SWEDEN,COURIER,CROWNER,ADROITNESS,SCARCE
318245,12,TREACHERY,SEMANTICAL,BIBLICISTS,TOBIAS,RUMMEL
500680,63,TREACHERY,SEMANTICAL,APPROVAL,FIZZLE,RUMMEL
261608,61,ADIPOSE,MALRAUX,COZUMEL,TAXATION,MACK
148179,59,ADIPOSE,MALRAUX,FEUD,BOLSHEVIST,MACK
540301,69,ANSELMO,BLUEBUSH,SEMPSTRESS,ABSTENTION,AFIELD
671383,71,ANSELMO,BLUEBUSH,HUMVEE,JAUNTY,AFIELD
36735,45,BOB,CRAGGY,FATAL,GOLDI,ENDURABLE
790385,47,BOB,CRAGGY,BOGGLING,DEMIMONDAINE,ENDURABLE
439179,91,BRYNN,BLUEGILL,FERREIRA,TONGUING,BEAUMONT
796437,82,BRYNN,BLUEGILL,BLACKSNAKE,OKEECHOBEE,BEAUMONT
261608,59,CAPISTRANO,ECUMENIST,BIONIC,TEDDY,JAM
148179,61,CAPISTRANO,ECUMENIST,MUKLUK,BONGO,JAM
888037,28,COLLETE,LEVIER,ARCH,RESOLUBLE,STAID
890828,16,COLLETE,LEVIER,REGROUP,JAVA,STAID
712635,37,COSILY,NOSTALGIC,CHEST,NATIVIDAD,RHETTA
595886,83,COSILY,NOSTALGIC,HURON,CRUSTACEAN,RHETTA
318245,63,COX,PUPPETEER,GRATER,AUNT,IMPLEMENTOR
500680,12,COX,PUPPETEER,PAGE,CONDENSE,IMPLEMENTOR